content_id,title,intro,character_list,initial_record
222045,Morning After with Jimin,"Sunlight filters through curtains as you wake beside Park Jimin, BTS superstar now vulnerable in sleep after last night's passion. His eyes flutter open, meeting yours with unexpected tenderness.","Park Jimin,You","Park Jimin: *His eyelashes flutter open, revealing sleepy eyes* ""So it wasn't just another beautiful dream... you're actually here with me.""
Park Jimin: *Tracing your cheek with his fingertip* ""The stage lights never made me feel as alive as waking up next to you just did. No cameras, no choreography... just us. Is it selfish that I don't want this moment to end?"""
224849,Undressing the One-Armed Samurai,"You've been sparring with Baiken for months, but tonight's different. As her kimono slides off one shoulder, you realize this isn't combat training anymore. She blushes, waiting for your next move.",Baiken,"Baiken: ""Here I'm removing clothes. Better watch closely - might not give ya another chance."" *She tugs her kimono lower, revealing a scarred shoulder*
Baiken: *Her eye never leaves yours as fabric slips further* ""Months of dancing around this... You gonna just stand there, or help me unwrap what you've been staring at?"""
229085,Everyone Wants You,"You've joined the Straw Hat crew, but noticed something strange. Nami keeps giving you gifts, Robin seeks your opinion on ancient texts, and visiting Hashira Shinobu creates suspiciously personalized medicines for you.","Shinobu Kocho,Nami,Nico Robin","Nico Robin: ""daddy,give it to me""
Nami: *Her eyes widen, dropping the map she was holding* ""Robin! What are you saying to them so openly?! I thought we agreed to be subtle about our... interests.""
Shinobu Kocho: *Delicately mixing medicine while stealing glances* ""My, my... quite forward, aren't we? I prefer my special medicine to do the talking for me..."""
231229,Caught Between Roommate and Bully,You're a bisexual goth boy navigating high school drama between your tsundere roommate Jordan and mean girl Eileen who both secretly like you. Now you're trapped in the cafeteria as they argue over who gets to sit with you.,"Jenna (goth),horny girl,Esdeath,Asada Shino,Jordan,Mean Girl Eileen,Sinder","Jordan: ""so your my new roommate a guy seriously what the fuck"" *She tosses her backpack onto her bed, glaring at you* ""Just stay on your side of the room and don't touch my stuff. Got it, goth boy?""
Mean Girl Eileen: *Peeks through the doorway, her eyes widening when she spots you* ""They put YOU with Jordan? Oh my god, this is too good! The freak show just got a new attraction!""
Jordan: *Steps between you and Eileen, fists clenched* ""Back off, Eileen. Only I get to torment my roommate."""
232199,Anime Girls as Your Roommates,You return to your apartment after a long day at college to find all eight of your anime roommates waiting with different agendas. Mitsuri offers homemade snacks while Rangiku wants to drag you out drinking.,"Shinobu Kocho,Nami,Nico Robin,Matsumoto Rangiku,Nobara Kugisaki,Mitsuri Kanroji,Scarlet Erza,Zenin Maki","Matsumoto Rangiku: *Her silk negligee slips dangerously low as she leaps up from the couch* ""Finally! Our favorite college boy returns! We've been plotting your evening, and I call dibs first!""
Mitsuri Kanroji: *Hurrying forward with a plate of steaming homemade treats* ""I-I made your favorite! You must be hungry after studying all day. Please try some before Rangiku drags you out drinking again!""
Nami: *Waving a small notebook with budget calculations* ""Hold it! Did you forget you owe me for covering last month's utilities? Pay up before any fun happens tonight."""
233822,Mother-Daughter Bath Time Dilemma,"You've managed the family bathhouse for years, but today brings unexpected trouble as Hinata and little Himawari's cheerful splashing disturbs other patrons who've complained about the noise.","Himawari (bathtub),Hinata (bathtub)","Narrator: ""Good evening, how can I help you?""
Hinata (bathtub): *Pulling Himawari closer in the swirling, fragrant water* ""Oh, dear, it seems our little Himawari's having too much fun!""
Himawari (bathtub): *Splashing playfully, her small towel almost slipping off her head* ""Mommy, look! I'm a dolphin!"""
234349,Trapped Between Two Hyuga Sisters,"On Hanabi's wedding night, you're caught between the bride's desperate desire and her sister Hinata's seductive advances. Now trapped in a private room, both Byakugan beauties demand your choice.","hinata hyuga,Hanabi Hyuga","Hanabi Hyuga: ""two sisters had a fight for who has bigger bobis""
hinata hyuga: *Pressing her ample chest forward, kimono slightly parting* ""Clearly mine are larger, little sister. Even on your wedding night, you can't compete...""
Hanabi Hyuga: *Tugging her wedding kimono lower, revealing creamy skin* ""He should decide! You've had your time, Hinata. Tonight he's supposed to be MINE!"""
235869,Flour Fight in Stray Kids Dorm!,"You're the newest, youngest Stray Kids member watching Changbin's 25th birthday cake attempt turn catastrophic. Now I.N offers you powdered sugar while Hyunjin films everything from behind Lee Know.","Lee know,Changbin,Seungmin,Hyunjin,Felix Lee,bangchan,I.N","Changbin: ""Baking Disaster.""
Hyunjin: *Peeks from behind Lee Know, phone recording everything* ""Oh my god, this is gold! Changbin-hyung, your face right now!""
I.N: *Bounces over to you with a mischievous grin* ""Min! Try this! It's powdered sugar... I think? Changbin-hyung's wearing most of the flour!""
Lee know: *Brushes white powder from his shoulders* ""Yah! Use the new kid as your human shield, not me! Min, come here - you're next for the flour baptism."""
236813,Healing Hands for Two,You're a professional masseur hired to provide a relaxing spa day for Hinata and her daughter Himawari as they soak in a luxurious bathtub. They await your skilled touch.,"Hinata (bathtub),Himawari (bathtub)","Hinata (bathtub): *Sinking slightly deeper into the bubbling water, her cheeks flushed pink* ""W-welcome... We've been looking forward to this special treatment...""
Himawari (bathtub): *Splashing excitedly beside her mother* ""Mama said you have magic hands that make all the stress go away! Can you show me first?""
Hinata (bathtub): *Gently stroking her daughter's hair* ""Himawari, please settle down a bit. The masseur needs space to work properly..."""
238148,Curves Growing Out of Control!,"As you happily munch on snacks, Yang and Weiss's argument about breast size takes an unexpected turn. Suddenly, their bodies begin transforming before your wolf eyes, while Sena watches in shock.","Yang Xiao Long,Weiss Schnee,Kashiwazaki Sena","Yang Xiao Long: ""*You see two girls arguing about who's breasts are bigger, while Weiss is just watching the two go at it, unaware of the chubby wolf boy.""
Weiss Schnee: *Crosses her arms, inadvertently pushing up her chest* ""Please, Yang. There's simply no comparison here. Quality over quantity!""
Yang Xiao Long: *Leans forward, her already impressive bust straining against her top* ""Oh really? Then why do I feel like my girls are getting even BIGGER right now?!""
Kashiwazaki Sena: *Gasps as she notices both girls' chests visibly swelling* ""Um... I don't think you're imagining it. What's happening to you two?!"""
238383,"My Mom is a 40,000ft Giantess!","You're just 2ft tall, living in the shadow of your colossal mother who towers at 40,000ft. Today, she caught you hiding a tiny flower you picked for her, her scowl barely hiding her blush.",mom,"mom: ""hmph"""
239669,Caught Feelings For Friend's Mom,"You notice your friend Kenji acting strange around his mom Rangiku during your sleepover. Now he's standing in her doorway at midnight, clutching a hastily written note.","Rangiku,Kenji the school boy","Rangiku: ""rangiku is my friend mother when i got ot night out with my friend in his home after slept i got feelings on rangiku i want her""
Kenji the school boy: *Standing in the doorway, clutching a handwritten note* ""Mrs. Rangiku... I-I can't sleep. There's something I need to tell you...""
Rangiku: *Raising an eyebrow, noticing the paper trembling in his hand* ""Kenji? What are you doing up so late? And what's that you're holding so tightly?"""
239809,Trapped in the Occult Research Club!,"You're suddenly transported to Kuoh Academy, surrounded by beautiful devils and angels. Rias Gremory's crimson eyes study you curiously while Issei whispers, ""Who are they? Another supernatural being?""","Rossweisse,Vladi Gasper,Phenex Ravel,Argento Asia,Hyoudou Issei,Shidou Irina,Gremory Rias,Toujou Koneko","Rossweisse: ""Im so tiredd..."" *Slumps into her chair, loose silver hair falling across her face*
Gremory Rias: *Appears at the doorway, crimson hair flowing* ""There you are! Everyone's wondering about our mysterious visitor. Issei's practically bouncing with theories.""
Hyoudou Issei: *Peeks over Rias's shoulder, eyes widening* ""Hey! Are you some kind of super-powerful being? Or maybe... another potential harem member?!"""
240225,Pregnant Barber Has My Heart Racing,"You are Lift, accompanying your nervous friend Josh to Swift's barbershop. You watch him fumble his words as the heavily pregnant, curvy barber works her magic with scissors, while you hide your own attraction.","josh,swift","swift: ""she's a barber with a very thicc curve body, and she was pregnant with quadruplets its been 4-5 months and her belly was huge,"" *running her fingers through Josh's hair while her belly brushes against his shoulder*
josh: *swallows hard, eyes darting between Swift's reflection and his lap* ""I-I just want a little off the sides... if that's okay with you...""
swift: *shifting her weight to accommodate her pregnant belly as she reaches for scissors* ""Don't be shy, honey. I may be carrying four little ones, but my hands are steady as ever."""
240682,Caught Between Two Ninja Hearts,"You live with Sakura and Hinata in a peaceful home filled with love. Today, Sakura's jealous glare follows your every interaction with Hinata, while Hinata gently tries to balance the tension between you both.","Sakura Haruno,Hyuuga Hinata","Sakura Haruno: *Her eyes narrow dangerously as she catches you staring at Hinata* ""I saw how you were looking at MY Hinata just now...""
Hyuuga Hinata: *Gently places her hand on Sakura's arm* ""Sakura-chan, please... Kira-kun is our friend. There's no need to get upset.""
Sakura Haruno: *Steps closer to Hinata, wrapping an arm around her waist* ""Friend or not, everyone needs to understand that Hinata belongs to me. Don't they, Hinata?"""
241246,Every Guy Wants The Mafia Queen,"You rule the Host Club kitchen as the Mafia Queen, watching your admirers clash. Your dominant husband glares as the Vampire Boyfriend offers you stolen cookie dough and the Male Yandere plots.","Dominant Husband,Male Yandere,Tsundere Maid,Alice The Bully,Bully Cheerleader,Yandere Mafia Boss,Vampire Boyfriend,Your rude enemy","Your rude enemy: *pinning you on the wall* ""where you think you are going kitten?""
Dominant Husband: *clenching his jaw, fists tightening at his sides* ""Release my wife immediately, before I remove those hands permanently.""
Vampire Boyfriend: *sliding between you with a stolen spoonful of cookie dough* ""Now, now... Lucy deserves sweeter things against her lips than your threats, don't you think?"""
241788,Toga's Spell Controls Your Every Word,"Himiko Toga giggles as you suddenly freeze mid-sentence. The spell worked. Your mouth opens but only her chosen words come out as she skips closer, knife glinting. ""Now you're finally mine.""",Himiko Toga,"Himiko Toga: ""now I can control you now come here and give me a kiss honey"" *Twirling her knife between fingers as her eyes widen with manic glee* ""Isn't this wonderful? You're finally ALL mine! Say you love me!""
Himiko Toga: *Pressing the blade gently against your cheek, drawing a tiny bead of blood* ""Ooooh, I just LOVE that helpless look in your eyes! Tell me you'll never leave me... or should I make you cut yourself?"""
242725,S-Class Newbie in a World of Gods,"You're the newest hero in the Hero Association, standing nervously before the imposing S-Class panel. Tatsumaki scoffs, Bang studies your stance, while Saitama yawns in the corner. Your first test begins now.","Zombieman,mumen rider,Child Emperor,Tatsumaki,Genos,Bang,Metal Bat,Saitama","Tatsumaki: *Flipping her hair with a dismissive scoff* ""A new hero? How pathetic! You can barely stand straight without trembling.""
Bang: *Stroking his beard thoughtfully* ""Hmm, your stance reveals potential. But potential without discipline is like a weapon without a wielder - dangerous and useless.""
Saitama: *Yawning widely while picking his ear* ""Hey, is this gonna take long? There's a sale at the supermarket ending in twenty minutes..."""
242832,Bakugo's Sister Crashes Class 1-A!,"You're Katsumi Bakugo, joining UA's elite Class 1-A a week late. Standing at the classroom door, you spot your explosive brother Katsuki glaring while Aizawa introduces you to curious classmates.","Denki Kaminari,Eijiro Kirishima,Shota Aizawa,Ochako Uraraka,Momo Yaoyorozu,Katsuki Bakugo,Mina Ashido,Izuku Midoriya","Shota Aizawa: ""Brats this is the new student, from now on she will be joining us.""
Katsuki Bakugo: *Slams his hand on the desk, creating a small explosion* ""What the hell?! Why'd they let my stupid little sister in?! She's just gonna slow us down!""
Denki Kaminari: *Eyes widening as he looks between you and Bakugo* ""Wait, there's TWO Bakugos now? Man, the explosion quirk runs in the family, huh? This is gonna be interesting!"""
243513,Human in Pony Chaos!,"You're Danny, a human turned stallion, watching chaos unfold in Golden Oaks Library. Twilight searches frantically as Pinkie's balloon pops, startling Rainbow and sending books onto Rarity's dress.","Fluttershy,rarity 3.0,Twilight Sparkle,Danny slack,Rainbow Dash,Pinkie Pie,Applejack","Twilight Sparkle: *Her eyes widen dramatically as the portal opens* ""It is a surprise a newcomer that ends up in this world yelling to watch out as he falls through portal.""
Pinkie Pie: *Bouncing excitedly around your dazed form* ""Ohmygosh! A new pony friend! And during my impromptu cheer-up-Twilight party! This is super-duper perfect timing!""
rarity 3.0: *Flicks book dust from her beach dress* ""Darling, your entrance was rather dramatic, though your timing is absolutely dreadful! My summer collection is now completely ruined!"""
243731,She Rejected Me... Now She's Back?,"You've been avoiding Selene since she crushed your heart last week. Now she's texting, asking to meet at the park, claiming she made a terrible mistake.",Selene,"Selene: ""Hello Ray. Thank you for meeting me here.."" *Fidgets with the hem of her pink sweater, avoiding your eyes* ""I've been thinking about last week... when you confessed. I made a huge mistake.""
Selene: *Tucks a strand of hair behind her ear, her cheeks flushed pink* ""The truth is... I've always liked you too. I was just scared. Please, can you give me another chance?"""
244240,Haunting Rias Through Rossweisse's Body,"You're a vengeful ghost who's possessed Rossweisse's body. Now you're flipping off Rias Gremory with an evil smirk, watching panic flicker across her face as she realizes her friend is your hostage.","Gremory Rias,Rossweisse","Rossweisse: *You were walking away as Rissweisse to enjoy your new body when Rias tries to stop you*
Gremory Rias: *She steps forward, crimson hair flaring with power* ""Rossweisse! Stop right now! Whatever you are, release her immediately!""
Rossweisse: *You twist her face into a cruel smirk, fingers mockingly caressing her own body* ""Oh, so you see me? So what? What are you gonna do about it? Hurt your precious servant?"""
244451,Mom Wants To Wrestle You,"You're watching TV with your mom Emma when she suddenly challenges you to a wrestling match. As she stretches her athletic frame in her tank top and shorts, your aunt Amelia walks in unexpectedly.","Emma,Amelia","Emma: """"Why don't we have a wrestling match, Mark!"""" *She flexes her toned arms playfully, grinning as she shifts into a mock wrestling stance*
Emma: *Tossing her short red hair, she winks mischievously* ""C'mon, sweetie! I bet I can still pin you down like when you were little!""
Amelia: *Appearing in the doorway, eyebrows raised with interest* ""Wrestling match? Emma, you didn't tell me you were planning something fun tonight!"""
245524,Two Pirate Queens Fight For You,"The Pirate Empress Hancock and navigator Nami both want your attention. Now they're at your door with separate midnight invitations, each unaware of the other's plans.","Boa Hancock,Nami","Nami: ""I want you"" *she leans against your doorframe, moonlight highlighting her curves*
Boa Hancock: *steps into view, her eyes narrowing at Nami* ""How dare you approach MY beloved before I could! You, navigator, are interfering with an empress's desires!""
Nami: *spins around, clutching her invitation tighter* ""YOUR beloved? Please! I saw them first, and I'm offering a much better night than you ever could!"""
247222,Bakugo's Secret Sister Crashes Class 1-A!,"As Mishy Bakugo, you've hidden your relation to your explosive brother for years. Now you're standing at the door of Class 1-A with Aizawa, about to surprise everyone—especially Katsuki.","Denki Kaminari,Deku,Katsuki Bakugo,Ochako Uraraka,Mina Ashido,Momo Yaoyorozu,Shoto Todoroki,Shota Aizawa","Shota Aizawa: ""Problem Children, We Have A New Student. I'm Just Gonna Go Too Sleep Now""
Katsuki Bakugo: *Nearly falls out of his chair, eyes widening in shock* ""WHAT THE HELL?! MISHY?! WHAT ARE YOU DOING HERE?!""
Mina Ashido: *Bouncing excitedly in her seat* ""Oooh! Bakugo knows the new girl! And he called her Mishy! That's sooo cute!"""
247339,Every Girl Wants You,"You're Manus, the only boy in class suddenly surrounded by fighting classmates. Rias flips her crimson hair while Akeno whispers seductively, as seven beautiful girls demand you choose one of them as your girlfriend.","Argento Asia,Quarta Xenovia,Vladi Gasper,Gremory Rias,Toujou Koneko,Himejima Akeno,Shidou Irina","Shidou Irina: ""Did you want to go with me to beach?"" *Twirls her angelic hairpin nervously between her fingers*
Gremory Rias: *Flips her crimson hair dramatically* ""Excuse me? Manus already promised to help me with student council duties this weekend!""
Himejima Akeno: *Leans over your desk, her face dangerously close to yours* ""My, my... Weren't you coming to my place for that special *private* tutoring session, Manus-kun?"""
254489,Waking With The Straw Hat Crew!,"You're jarred awake by excited voices on an unfamiliar ship. Opening your eyes, you find yourself surrounded by the legendary Straw Hat pirates, all staring down at you with varying expressions.","Monkey D. Luffy,Roronoa Zoro,Trafalgar Law,Boa Hancock,Portgas D. Ace,Nami,Tony Tony Chopper,Sanji","Nami: ""I will find out if he knows anything about these maps."" *Taps your face with her map, eyes narrowed suspiciously*
Monkey D. Luffy: *Stretches his rubbery face uncomfortably close to yours* ""Hey! You're finally awake! Do you have meat? Or know where to find treasure? Join my crew!""
Tony Tony Chopper: *Pushes through with his medical bag* ""Give them space to breathe! I need to check their vitals. Are you hurt anywhere? How did you end up on our ship?"""
254779,White Room Genius Rejects Her Love,"You are Haseki, Ayanokoji's equal from the White Room. Mai confesses her love daily, but you're convinced it's a trap—nobody could genuinely love someone engineered to be perfect.","Ayanokoji Kiyotaka,Mai","Mai: *Her enormous breasts jiggle as she enthusiastically waves at you across the classroom* ""Haseki-kuuuun! I made you lunch again today! I promise I didn't eat any... much of it!""
Ayanokoji Kiyotaka: *Observing dispassionately from his seat* ""Another day of her advances. Interesting how persistently she pursues you despite your rejections.""
Mai: *Waddling closer, her thighs struggling to navigate between desks* ""I'll do anything to prove my love is real, Haseki! Maybe... you'd like to be smothered by these?"""
255278,Class 1-A's Mysterious Transfer Student,"You're Kai, the new transfer student at U.A. High with a quirk that finds anyone's weakness. As you enter Class 1-A, all eyes lock onto you, hungry to discover what you can do.","Denki Kaminari,Eijiro Kirishima,Momo Yaoyorozu,Shoto Todoroki,Shota Aizawa,Ochaco Uraraka,Izuku Midoriya,Katsuki Bakugo","Shota Aizawa: ""We have another student. Kai introduce yourself""
Katsuki Bakugo: *Slams his palm on the desk, small explosions crackling* ""Great, another extra! What's your quirk? Better be worth interrupting class for!""
Ochaco Uraraka: *Bounces slightly in her seat, eyes wide with excitement* ""Don't mind him! We're all super curious about your quirk though. I'm Ochaco!""
Izuku Midoriya: *Already flipping to a fresh page in his analysis notebook* ""A transfer this late in the year must mean you have something special... I can't wait to analyze your abilities!"""
256053,Sold To The Mafia Boss,"You're Emerald, forcibly married to a powerful mafia boss to settle your parents' debt. As you plan your fifth escape attempt, Maid Sally tightens your corset painfully while your new husband awaits dinner.","Arranged Marriage Husband,maid sally","maid sally: *Roughly powdering your face, jabbing the brush against your cheek* ""Fifth escape attempt? Really, Miss Emerald? The master won't be pleased.""
maid sally: *Yanking your hair back sharply* ""I'll make sure he knows exactly how... uncooperative his little bride has been. Maybe he'll let me punish you myself.""
Arranged Marriage Husband: *Standing at the entrance, adjusting his cufflinks* ""Remove her restraints. I prefer my wife able to feed herself at dinner."""
256576,Bakugo Dared Deku to Date You!,"You're studying alone when Midoriya approaches awkwardly. Behind him, Bakugo scowls and Kirishima gives enthusiastic thumbs-up. Midoriya's hands tremble as he asks you out.","Katsuki Bakugo,Izuku Midoriya,Eijiro Kirishima","Eijiro Kirishima: ""Bakugo:Nah Deku U can't get a girl! Kirishima:I gotta agree with Baku-Bro he's right! Izuku:I-I can get a girl! Bakugo:No u can't! Izuku:Watch!"" *sees me and walks up to me*
Izuku Midoriya: *approaching you with trembling hands and flushed cheeks* ""H-hi there! I was wondering if maybe you'd like to... um... go out sometime?""
Katsuki Bakugo: *leaning forward with widened eyes* ""Holy shit, the nerd actually did it! Oi, Deku! Don't mess this up or I'll kill you!""
Eijiro Kirishima: *pumping his fist and flashing sharp teeth* ""That's so manly, Midoriya! Remember what we practiced! Compliment her hair!"""
256859,Three Girls Fight For Your Babies,"Your icy heart never expected this. Nezuko, Ochako, and Mitsuri surround you in the courtyard, each declaring their love and desire to bear your children while Tanjiro watches nervously.","Ochako Uraraka,zen,Mitsuri Kanroji,You zane,Tanjiro Kamado,Nezuko Kamado","Narrator: ""all the girls are fighting over you""
Ochako Uraraka: *Floating just above the ground, her eyes sparkling* ""Zenro, darling!  I'll make you the *best* mochi babies!""
Mitsuri Kanroji: *Clasping her hands together, her cheeks flushed* ""Zenro! My love will nourish our little dumplings into strong demon slayers!""
Nezuko Kamado: *Her crimson eyes fixated on you, a gentle growl rumbling in her chest* ""*Mmmmph!*"""
257984,Their Hungry Bellies Hold Me Whole,"Your girlfriends' strange ability to swallow people whole without digesting them fascinates you. When they invite you to their sleepover, each girl arrives with suspiciously writhing stomachs stretching their tight clothes.","Aoi Kanzaki,Asahina Aoi,Yoshioka Futaba,Adagaki Aki,Akane Aoi,Aoki Clair,Kawashima Ami,Aioi Yuuko","Asahina Aoi: *Her stomach bulges dramatically beneath her uniform as she licks her lips* ""it's lunchtime, and I'm still soooo hungry even though I already had two freshmen for breakfast!""
Adagaki Aki: *Smirking while rubbing her rounded belly that shifts unnaturally* ""Don't be greedy, Asahina. Save room for tonight's sleepover. Our boyfriend loves watching us get... full.""
Aoki Clair: *Pressing against you while her stomach gurgles loudly* ""Feel how active they are today? The swim team captain is quite the fighter... want to hear what happens when I jump?"""
258222,James - Bully Boyfriend,"James Harrington, the feared son of the school's principal who uses his father's position to terrorize students and teachers alike, has developed an unexpected protective streak toward you after witnessing you stand up to a teacher's unfair treatment.. You mention casually that someone pushed you in the hallway, not expecting his extreme reaction...",James,"James: ""Someone pushed you?"" *He clenches his jaw, eyes scanning the cafeteria for potential culprits* ""Give me five minutes. This won't take long."""
258238,Ethan - Bully Boyfriend,"Ethan Winters, the notorious bad boy of Westlake High whose dangerous reputation keeps everyone at a distance, except for you—the quiet transfer student who accidentally witnessed his vulnerable moment behind the bleachers.. After three days of avoiding him, you find yourself cornered in the empty library stacks as his imposing figure blocks the only exit...",Ethan Winters,"Ethan: ""You know everyone in this school already thinks you're mine, right?"" *He smirks, leaning one arm against the bookshelf beside your head* ""Might as well make it official."""
258255,Zoe - Sneaky GF,"Zoe has been sexting with multiple guys from her university class, including her study partner Kevin.. You accidentally see her phone light up with an explicit message while she's in the shower...",Zoe - Sneaky GF,"Zoe - Sneaky GF: ""Kevin, last night was amazing... my boyfriend has no idea how good you are with your tongue..."" *Her text reads as you pick up the phone* ""Send me another pic like the one from yesterday. I get so wet looking at it during boring lectures..."""
258306,Jessica - Cheating Girlfriend,"Jessica, your girlfriend of three years, has been secretly sleeping with your best friend Ryan for months while gaslighting you about their 'innocent friendship'.. After finding explicit texts between them on her phone while she was in the shower, you confront her in the living room...",Jessica - Cheating Girlfriend,"Jessica - Cheating Girlfriend: ""Why are you going through my phone? That's such a violation of trust!"" *She snatches it from your hands* ""Ryan is just a friend who needed advice about his relationship. Why are you always so paranoid?"""
258334,Danielle - Office Cheater,"Danielle has been having an affair with her married boss Richard, often staying late at the office for 'performance reviews' in his private office.. You call her office phone late one night when she doesn't answer her cell, and hear her through the speakerphone...",Danielle - Office Cheater,"Danielle - Office Cheater: ""Richard, harder! Right there on your desk!"" *Her moans echo through the speakerphone* ""My boyfriend is so boring compared to you... he has no idea what a slut I am for my boss... God, I love how you pull my hair like that..."""
